"ID"	"GeneID"	"geneSymbol"	"chr"	"strand"	"exonStart_0base"	"exonEnd"	"upstreamES"	"upstreamEE"	"downstreamES"	"downstreamEE"	"ID.1"	"IJC_SAMPLE_1"	"SJC_SAMPLE_1"	"IJC_SAMPLE_2"	"SJC_SAMPLE_2"	"IncFormLen"	"SkipFormLen"	"PValue"	"FDR"	"IncLevel1"	"IncLevel2"	"IncLevelDifference"
7219	"HNRNPC"	"HNRNPC"	chr14	-	21262600	21262768	21233952	21234229	21263310	21263336	7219	46,52,34	1120,1344,673	125,78,70	792,473,859	267	99	1.11022302463e-16	1.21432276e-13	0.015,0.014,0.018	0.055,0.058,0.029	-0.032
76978	"MGST1"	"MGST1"	chr12	+	16357604	16357699	16354230	16354378	16363794	16363806	76978	1899,2318,1375	45,39,30	1734,1000,2020	119,75,100	194	99	1.11022302463e-16	1.21432276e-13	0.956,0.968,0.959	0.881,0.872,0.912	0.073
18074	"SNRPB"	"SNRPB"	chr20	-	2467191	2467315	2465707	2465819	2467606	2467758	18074	62,86,39	953,1118,584	218,130,200	1117,683,1166	223	99	3.33066907388e-16	3.57291119768e-13	0.028,0.033,0.029	0.08,0.078,0.071	-0.046
11424	"ALKBH3"	"ALKBH3"	chr11	+	43892040	43892129	43889724	43889828	43901515	43901714	11424	92,109,54	10,3,5	194,85,185	92,62,87	188	99	5.55111512313e-16	5.63004188724e-13	0.829,0.95,0.85	0.526,0.419,0.528	0.385
48413	"TRA2A"	"TRA2A"	chr7	-	23522353	23522432	23521706	23521840	23531788	23532023	48413	14,18,9	71,99,43	92,48,79	116,46,74	178	99	5.55111512313e-16	5.63004188724e-13	0.099,0.092,0.104	0.306,0.367,0.373	-0.25
55151	"EIF3I"	"EIF3I"	chr1	+	32226170	32226320	32224409	32224475	32228498	32228609	55151	1196,1485,791	30,25,21	1634,915,1681	128,66,109	249	99	5.55111512313e-16	5.63004188724e-13	0.941,0.959,0.937	0.835,0.846,0.86	0.099
74011	"PPP1R2"	"PPP1R2"	chr3	-	195523691	195523786	195519017	195519185	195524818	195524896	74011	321,338,237	4,6,0	383,198,337	37,15,36	194	99	9.99200722163e-16	9.95310976495e-13	0.976,0.966,1.0	0.841,0.871,0.827	0.134
48409	"TRA2A"	"TRA2A"	chr7	-	23522120	23522432	23521706	23521840	23531788	23531980	48409	81,137,43	71,99,43	376,212,331	116,46,74	411	99	2.55351295664e-15	2.49894841662e-12	0.216,0.25,0.194	0.438,0.526,0.519	-0.274
28695	"FLOT2"	"FLOT2"	chr17	-	28885856	28885947	28884224	28884315	28897525	28897652	28695	3,0,2	3,5,4	8,2,14	0,0,0	190	99	2.77555756156e-15	2.66941641205e-12	0.343,0.0,0.207	1.0,1.0,1.0	-0.817
78332	"PTRH2"	"PTRH2"	chr17	-	59698870	59700189	59697307	59697978	59707370	59707626	78332	93,101,72	94,110,58	123,66,94	303,185,345	1418	99	2.99760216649e-15	2.83410583138e-12	0.065,0.06,0.08	0.028,0.024,0.019	0.045
43124	"HNRNPH1"	"HNRNPH1"	chr5	-	179619268	179619360	179618144	179618323	179620891	179620959	43124	566,618,378	79,77,34	465,249,461	158,75,148	191	99	4.21884749358e-15	3.92226251478e-12	0.788,0.806,0.852	0.604,0.632,0.618	0.197
12093	"BIRC5"	"BIRC5"	chr17	+	78222827	78222992	78216663	78216781	78223464	78223554	12093	19,29,25	263,322,158	116,77,113	412,217,311	264	99	4.55191440096e-15	4.16253916581e-12	0.026,0.033,0.056	0.095,0.117,0.12	-0.072
29509	"RECQL5"	"RECQL5"	chr17	-	75650516	75650718	75631491	75631668	75651185	75651265	29509	1,8,8	20,36,19	66,23,66	38,8,25	301	99	5.44009282066e-15	4.89450415681e-12	0.016,0.068,0.122	0.364,0.486,0.465	-0.37
53810	"NDUFS4"	"NDUFS4"	chr5	+	53604723	53604895	53603451	53603530	53646232	53646405	53810	20,28,6	63,99,60	86,62,90	103,47,56	271	99	7.88258347484e-15	6.97946462529e-12	0.104,0.094,0.035	0.234,0.325,0.37	-0.232
35537	"EIF4A2"	"EIF4A2"	chr3	+	186784961	186785101	186784563	186784696	186785882	186785913	35537	1799,2082,1178	133,135,61	2246,1355,2472	325,213,333	239	99	1.31006316906e-14	1.12427605687e-11	0.849,0.865,0.889	0.741,0.725,0.755	0.127
43681	"EIF4A1"	"EIF4A1"	chr17	+	7573399	7573547	7572825	7572864	7574259	7574308	43681	5,5,4	465,576,278	53,32,38	585,322,523	247	99	1.29896093881e-14	1.12427605687e-11	0.004,0.003,0.006	0.035,0.038,0.028	-0.029
66537	"SRRM1"	"SRRM1"	chr1	+	24648023	24648166	24646666	24646789	24648858	24648887	66537	5,3,3	196,154,76	32,19,13	121,64,94	242	99	1.99840144433e-14	1.6638034234e-11	0.01,0.008,0.016	0.098,0.108,0.054	-0.075
77510	"CD44"	"CD44"	chr11	+	35198120	35198246	35189834	35190065	35204511	35204640	77510	199,218,136	148,202,77	448,303,496	114,53,138	225	99	1.99840144433e-14	1.6638034234e-11	0.372,0.322,0.437	0.634,0.716,0.613	-0.277
20596	"PRDM4"	"PRDM4"	chr12	-	107751646	107752209	107746274	107746424	107753923	107754109	20596	205,247,120	1,1,0	415,208,381	29,24,22	662	99	2.0650148258e-14	1.69398025019e-11	0.968,0.974,1.0	0.682,0.564,0.721	0.325
5232	"FBXL12"	"FBXL12"	chr19	-	9813230	9813274	9810266	9811717	9818544	9818617	5232	40,38,19	97,106,50	18,2,15	171,107,182	143	99	2.81996648255e-14	2.26488542207e-11	0.222,0.199,0.208	0.068,0.013,0.054	0.165
45517	"ADRM1"	"ADRM1"	chr20	+	62304460	62304577	62303567	62303781	62306196	62306320	45517	1123,1245,663	30,53,22	1367,749,1442	10,10,4	216	99	2.84217094304e-14	2.26488542207e-11	0.945,0.915,0.932	0.984,0.972,0.994	-0.053
42124	"TMEM183A"	"TMEM183A"	chr1	+	203017755	203017919	203015839	203016140	203018480	203018561	42124	53,49,42	246,285,138	173,100,198	286,175,324	263	99	3.48610029732e-14	2.73889643359e-11	0.075,0.061,0.103	0.185,0.177,0.187	-0.103
36655	"KIAA1191"	"KIAA1191"	chr5	-	176359461	176359567	176348249	176348356	176359810	176359918	36655	111,115,74	13,13,12	129,83,98	62,48,77	205	99	5.39568389968e-14	4.18030610128e-11	0.805,0.81,0.749	0.501,0.455,0.381	0.342
48411	"TRA2A"	"TRA2A"	chr7	-	23522131	23522432	23521706	23521840	23531788	23532041	48411	75,119,43	71,99,43	328,195,301	116,46,74	400	99	6.30606677987e-14	4.81869886459e-11	0.207,0.229,0.198	0.412,0.512,0.502	-0.264
77511	"CD44"	"CD44"	chr11	+	35198120	35198246	35189834	35190065	35206111	35206243	77511	206,230,137	24,22,15	453,304,496	5,7,9	225	99	8.58202398035e-14	6.46922245503e-11	0.791,0.821,0.801	0.976,0.95,0.96	-0.158
9738	"TPM3"	"TPM3"	chr1	-	154176114	154176248	154173083	154173201	154182987	154183119	9738	1566,1810,947	14,11,10	1497,875,1439	33,39,55	233	99	9.82547376793e-14	7.2849778841e-11	0.979,0.986,0.976	0.951,0.905,0.917	0.056
49653	"ASPH"	"ASPH"	chr8	-	61646749	61646878	61644599	61644632	61651049	61651124	49653	785,927,611	58,92,53	516,333,501	119,71,111	228	99	9.92539384015e-14	7.2849778841e-11	0.855,0.814,0.833	0.653,0.671,0.662	0.172
7225	"HNRNPC"	"HNRNPC"	chr14	-	21263666	21263829	21263310	21263336	21269297	21269406	7225	154,128,79	1156,1322,669	206,130,217	845,453,842	262	99	1.19682042055e-13	8.67026450638e-11	0.048,0.035,0.043	0.084,0.098,0.089	-0.048
11055	"RIOK1"	"RIOK1"	chr6	+	7398697	7398740	7396702	7396772	7400957	7401050	11055	314,349,199	2,5,0	465,231,450	35,10,38	142	99	1.24011911851e-13	8.86875957291e-11	0.991,0.98,1.0	0.903,0.942,0.892	0.078
27038	"ATXN2L"	"ATXN2L"	chr16	+	28832495	28832567	28832186	28832399	28832816	28832887	27038	262,316,177	6,9,9	296,154,281	44,31,38	171	99	1.86850535044e-13	1.31935399314e-10	0.962,0.953,0.919	0.796,0.742,0.811	0.162
14992	"ASNS"	"ASNS"	chr7	-	97871718	97871996	97869777	97869813	97872350	97872408	14992	96,93,76	298,419,262	180,72,142	215,159,182	377	99	1.95288230032e-13	1.36169600596e-10	0.078,0.055,0.071	0.18,0.106,0.17	-0.084
42274	"HBS1L"	"HBS1L"	chr6	-	135037810	135038026	135002620	135002842	135039572	135039767	42274	14,13,13	182,188,131	77,27,69	207,140,196	315	99	2.38697950294e-13	1.64383321769e-10	0.024,0.021,0.03	0.105,0.057,0.1	-0.062
68636	"RBSN"	"RBSN"	chr3	-	15075289	15075417	15075046	15075116	15075605	15075710	68636	0,0,0	2,2,1	1,2,1	0,0,0	227	99	3.02313729605e-13	2.05654444693e-10	0.0,0.0,0.0	1.0,1.0,1.0	-1
49624	"ITPA"	"ITPA"	chr20	+	3213318	3213383	3213168	3213226	3213984	3214058	49624	287,269,192	4,5,6	299,128,251	26,17,42	164	99	3.14304138271e-13	2.11235101699e-10	0.977,0.97,0.951	0.874,0.82,0.783	0.14
63713	"TMPRSS3"	"TMPRSS3"	chr21	-	42383032	42383198	42381875	42382234	42383969	42384013	63713	484,540,365	12,7,4	881,479,849	73,22,72	265	99	3.72368802459e-13	2.47279482604e-10	0.938,0.966,0.972	0.818,0.891,0.815	0.117
47486	"SLC25A17"	"SLC25A17"	chr22	-	40799022	40799040	40792524	40792676	40819194	40819316	47486	1,1,1	0,0,0	0,2,2	8,4,4	117	99	4.42090808406e-13	2.90125993818e-10	1.0,1.0,1.0	0.0,0.297,0.297	0.802
33105	"BTC"	"BTC"	chr4	-	74750572	74750719	74748039	74748149	74755858	74755976	33105	13,9,3	0,0,0	7,3,4	4,2,7	246	99	5.51114709424e-13	3.57468380478e-10	1.0,1.0,1.0	0.413,0.376,0.187	0.675
19476	"FAM210A"	"FAM210A"	chr18	-	13671861	13671973	13663346	13666713	13681604	13682105	19476	121,109,79	0,1,1	273,153,217	26,22,25	211	99	6.47593090264e-13	4.1521882484e-10	1.0,0.981,0.974	0.831,0.765,0.803	0.185
34143	"DDX49"	"DDX49"	chr19	+	18920833	18920909	18920579	18920703	18921662	18921748	34143	7,8,9	133,122,54	71,53,69	195,144,213	175	99	7.71271935207e-13	4.83405517862e-10	0.029,0.036,0.086	0.171,0.172,0.155	-0.116
36656	"KIAA1191"	"KIAA1191"	chr5	-	176359461	176359567	176355570	176355749	176359810	176359918	36656	110,119,81	30,25,14	129,82,99	93,58,100	205	99	7.68385355343e-13	4.83405517862e-10	0.639,0.697,0.736	0.401,0.406,0.323	0.314
43125	"HNRNPH1"	"HNRNPH1"	chr5	-	179619268	179619407	179618144	179618323	179620891	179621035	43125	1997,2327,1271	79,77,34	1801,1083,1845	158,75,148	238	99	1.18483001188e-12	7.34357641363e-10	0.913,0.926,0.94	0.826,0.857,0.838	0.086
36634	"KIAA1191"	"KIAA1191"	chr5	-	176350612	176350737	176348249	176348356	176359810	176359918	36634	293,366,202	13,13,12	410,261,490	62,48,77	224	99	1.22224452781e-12	7.49222464289e-10	0.909,0.926,0.882	0.745,0.706,0.738	0.176
2316	"NIPA2"	"NIPA2"	chr15	+	22839061	22839174	22838659	22838921	22845145	22845267	2316	3,3,0	6,5,6	8,4,17	1,0,0	212	99	1.30617738847e-12	7.91969424822e-10	0.189,0.219,0.0	0.789,1.0,1.0	-0.794
35012	"KIN"	"KIN"	chr10	-	7783080	7783175	7780263	7780307	7787819	7787981	35012	94,77,75	6,6,7	140,71,75	48,36,39	194	99	1.46238576804e-12	8.77148418417e-10	0.889,0.868,0.845	0.598,0.502,0.495	0.336
9737	"TPM3"	"TPM3"	chr1	-	154176114	154176179	154173083	154173201	154182987	154183078	9737	486,510,258	14,11,10	464,231,390	33,39,55	164	99	1.59294799573e-12	9.45296011679e-10	0.954,0.966,0.94	0.895,0.781,0.811	0.124
17665	"PCBP2"	"PCBP2"	chr12	+	53467804	53467843	53467220	53467293	53468776	53468832	17665	1012,1048,534	139,138,58	1144,699,935	290,170,301	138	99	2.45181652758e-12	1.4396550478e-09	0.839,0.845,0.869	0.739,0.747,0.69	0.126
36657	"KIAA1191"	"KIAA1191"	chr5	-	176359480	176359567	176348249	176348356	176359810	176359918	36657	144,145,86	13,13,12	191,120,175	62,48,77	186	99	2.5517365998e-12	1.48271844802e-09	0.855,0.856,0.792	0.621,0.571,0.547	0.255
56406	"NOP58"	"NOP58"	chr2	+	202277949	202278002	202275112	202275189	202282350	202282472	56406	353,439,249	5,3,0	407,241,388	28,15,20	152	99	3.06499270408e-12	1.76259198989e-09	0.979,0.99,1.0	0.904,0.913,0.927	0.075
24143	"TYK2"	"TYK2"	chr19	-	10353527	10353646	10352925	10353098	10354041	10354103	24143	385,454,252	1,11,9	539,277,530	45,22,50	218	99	6.80144829346e-12	3.87141212965e-09	0.994,0.949,0.927	0.845,0.851,0.828	0.115
36138	"C5orf66"	"C5orf66"	chr5	+	135333757	135334161	135174041	135174172	135337930	135338013	36138	4,10,5	0,0,0	18,6,9	5,1,8	503	99	7.30182581066e-12	4.11424694313e-09	1.0,1.0,1.0	0.415,0.541,0.181	0.621
